Time(s),CH1V,CH2V
-1.700000e-04,7.466667e-04,3.266667e-04
-1.680000e-04,6.333333e-04,1.373333e-03
-1.660000e-04,-2.933333e-04,4.400000e-04
-1.640000e-04,5.133333e-04,2.133333e-04
-1.620000e-04,-6.000000e-05,2.133333e-04
-1.600000e-04,8.600000e-04,9.066667e-04
-1.580000e-04,-5.200000e-04,4.400000e-04
-1.560000e-04,9.800000e-04,7.933333e-04
-1.540000e-04,5.333333e-05,6.733334e-04
-1.520000e-04,8.600000e-04,7.933333e-04
-1.500000e-04,1.733333e-04,9.066667e-04
-1.480000e-04,1.440000e-03,1.140000e-03
-1.460000e-04,1.733333e-04,5.600000e-04
-1.440000e-04,8.600000e-04,5.600000e-04
-1.420000e-04,5.333333e-05,7.933333e-04
-1.400000e-04,4.000000e-04,1.600000e-03
-1.380000e-04,5.333333e-05,1.020000e-03
-1.360000e-04,6.333333e-04,7.933333e-04
-1.340000e-04,-1.733333e-04,7.933333e-04
-1.320000e-04,2.866667e-04,7.933333e-04
-1.300000e-04,-1.733333e-04,5.600000e-04
-1.280000e-04,9.800000e-04,9.066667e-04
-1.260000e-04,4.000000e-04,7.933333e-04
-1.240000e-04,1.206667e-03,1.253333e-03
-1.220000e-04,5.133333e-04,4.400000e-04
-1.200000e-04,1.093333e-03,1.486667e-03
-1.180000e-04,1.733333e-04,7.933333e-04
-1.160000e-04,1.206667e-03,1.140000e-03
-1.140000e-04,1.733333e-04,3.266667e-04
-1.120000e-04,2.866667e-04,1.020000e-03
-1.100000e-04,2.866667e-04,3.266667e-04
-1.080000e-04,8.600000e-04,1.140000e-03
-1.060000e-04,4.000000e-04,5.600000e-04
-1.040000e-04,1.206667e-03,1.373333e-03
-1.020000e-04,6.333333e-04,1.020000e-03
-1.000000e-04,7.466667e-04,7.933333e-04
-9.800000e-05,5.333333e-05,5.600000e-04
-9.600000e-05,6.333333e-04,1.140000e-03
-9.400000e-05,1.733333e-04,4.400000e-04
-9.200000e-05,1.093333e-03,5.600000e-04
-9.000000e-05,4.000000e-04,2.133333e-04
-8.800000e-05,1.093333e-03,1.020000e-03
-8.600000e-05,1.733333e-04,6.733334e-04
-8.400000e-05,1.553333e-03,5.600000e-04
-8.200000e-05,1.326667e-03,4.400000e-04
-8.000000e-05,6.333333e-04,7.933333e-04
-7.800000e-05,-1.733333e-04,4.400000e-04
-7.600000e-05,5.133333e-04,6.733334e-04
-7.400000e-05,4.000000e-04,1.020000e-03
-7.200000e-05,8.600000e-04,5.600000e-04
-7.000000e-05,1.733333e-04,6.733334e-04
-6.800000e-05,1.326667e-03,6.733334e-04
-6.600000e-05,2.866667e-04,4.400000e-04
-6.400000e-05,1.786667e-03,1.373333e-03
-6.200000e-05,2.866667e-04,4.400000e-04
-6.000000e-05,9.800000e-04,1.020000e-03
-5.800000e-05,7.466667e-04,3.266667e-04
-5.600000e-05,8.600000e-04,7.933333e-04
-5.400000e-05,4.000000e-04,1.020000e-03
-5.200000e-05,1.326667e-03,5.600000e-04
-5.000000e-05,4.000000e-04,4.400000e-04
-4.800000e-05,1.440000e-03,5.600000e-04
-4.600000e-05,6.333333e-04,4.400000e-04
-4.400000e-05,1.440000e-03,5.600000e-04
-4.200000e-05,2.866667e-04,2.133333e-04
-4.000000e-05,8.600000e-04,1.140000e-03
-3.800000e-05,-6.000000e-05,1.020000e-03
-3.600000e-05,7.466667e-04,9.066667e-04
-3.400000e-05,2.866667e-04,6.733334e-04
-3.200000e-05,8.600000e-04,1.140000e-03
-3.000000e-05,5.133333e-04,7.933333e-04
-2.800000e-05,7.466667e-04,1.020000e-03
-2.600000e-05,5.333333e-05,4.400000e-04
-2.400000e-05,1.093333e-03,1.020000e-03
-2.200000e-05,5.333333e-05,5.600000e-04
-2.000000e-05,1.093333e-03,5.600000e-04
-1.800000e-05,2.866667e-04,1.140000e-03
-1.600000e-05,1.093333e-03,1.373333e-03
-1.400000e-05,-4.066667e-04,4.400000e-04
-1.200000e-05,5.133333e-04,1.140000e-03
-1.000000e-05,1.733333e-04,4.400000e-04
-8.000000e-06,7.466667e-04,7.933333e-04
-6.000000e-06,1.733333e-04,9.066667e-04
-4.000000e-06,7.466667e-04,1.140000e-03
-2.000000e-06,-6.000000e-05,4.400000e-04
1.120201e-17,1.078533e-01,9.066667e-04
2.000000e-06,2.529333e-01,9.066667e-04
4.000000e-06,2.885933e-01,9.066667e-04
6.000000e-06,2.973667e-01,5.600000e-04
8.000000e-06,3.002533e-01,9.066667e-04
1.000000e-05,3.003667e-01,6.733334e-04
1.200000e-05,3.004867e-01,9.066667e-04
1.400000e-05,3.009467e-01,6.733334e-04
1.600000e-05,3.016400e-01,6.733334e-04
1.800000e-05,3.006000e-01,5.600000e-04
2.000000e-05,3.014067e-01,1.020000e-03
2.200000e-05,3.008333e-01,4.400000e-04
2.400000e-05,3.009467e-01,1.020000e-03
2.600000e-05,3.008333e-01,7.933333e-04
2.800000e-05,3.017533e-01,5.600000e-04
3.000000e-05,3.009467e-01,4.400000e-04
3.200000e-05,3.018667e-01,1.140000e-03
3.400000e-05,3.009467e-01,6.733334e-04
3.600000e-05,3.015200e-01,7.933333e-04
3.800000e-05,3.011800e-01,1.020000e-03
4.000000e-05,3.012933e-01,9.066667e-04
4.200000e-05,3.007133e-01,4.400000e-04
4.400000e-05,3.017533e-01,1.140000e-03
4.600000e-05,3.010600e-01,3.266667e-04
4.800000e-05,3.015200e-01,1.140000e-03
5.000000e-05,3.012933e-01,2.133333e-04
5.200000e-05,3.017533e-01,6.733334e-04
5.400000e-05,3.014067e-01,5.600000e-04
5.600000e-05,3.015200e-01,1.140000e-03
5.800000e-05,3.007133e-01,3.266667e-04
6.000000e-05,3.011800e-01,1.373333e-03
6.200000e-05,3.003667e-01,2.133333e-04
6.400000e-05,3.012933e-01,5.600000e-04
6.600000e-05,3.012933e-01,6.733334e-04
6.800000e-05,3.015200e-01,1.140000e-03
7.000000e-05,3.015200e-01,2.133333e-04
7.200000e-05,3.017533e-01,1.373333e-03
7.400000e-05,3.012933e-01,6.733334e-04
7.600000e-05,3.016400e-01,1.140000e-03
7.800000e-05,3.015200e-01,2.133333e-04
8.000000e-05,3.014067e-01,5.600000e-04
8.200000e-05,3.015200e-01,6.733334e-04
8.400000e-05,3.015200e-01,6.733334e-04
8.600000e-05,3.018667e-01,7.933333e-04
8.800000e-05,3.015200e-01,1.373333e-03
9.000000e-05,3.012933e-01,5.600000e-04
9.200000e-05,3.016400e-01,1.253333e-03
9.400000e-05,3.003667e-01,5.600000e-04
9.600000e-05,3.017533e-01,1.020000e-03
9.800000e-05,3.012933e-01,5.600000e-04
1.000000e-04,3.015200e-01,7.933333e-04
1.020000e-04,3.011800e-01,1.140000e-03
1.040000e-04,3.021000e-01,5.600000e-04
1.060000e-04,3.016400e-01,3.266667e-04
1.080000e-04,3.016400e-01,1.253333e-03
1.100000e-04,3.010600e-01,5.600000e-04
1.120000e-04,3.019867e-01,7.933333e-04
1.140000e-04,3.012933e-01,3.266667e-04
