Time(s),CH1V,CH2V,CH3V,CH4V
-6.500000e-04,3.018600e-01,6.733334e-04,1.400000e-04,3.600000e-04
-6.480000e-04,3.017400e-01,7.933333e-04,2.600000e-04,2.000000e-05
-6.460000e-04,3.017400e-01,3.266667e-04,4.866667e-04,3.600000e-04
-6.440000e-04,3.015133e-01,5.600000e-04,4.866667e-04,1.333333e-04
-6.420000e-04,3.015133e-01,4.400000e-04,9.466666e-04,-2.133333e-04
-6.400000e-04,3.013933e-01,7.933333e-04,4.866667e-04,1.333333e-04
-6.380000e-04,3.015133e-01,3.266667e-04,9.466666e-04,3.600000e-04
-6.360000e-04,3.005867e-01,5.600000e-04,9.466666e-04,7.066667e-04
-6.340000e-04,3.018600e-01,4.400000e-04,6.000000e-04,2.466667e-04
-6.320000e-04,3.019733e-01,1.140000e-03,1.400000e-04,2.466667e-04
-6.300000e-04,3.018600e-01,6.733334e-04,1.400000e-04,1.166667e-03
-6.280000e-04,3.013933e-01,1.020000e-03,-2.000000e-04,-5.533333e-04
-6.260000e-04,3.017400e-01,1.020000e-03,7.200000e-04,1.166667e-03
-6.240000e-04,3.008200e-01,9.066667e-04,4.866667e-04,2.466667e-04
-6.220000e-04,3.015133e-01,3.266667e-04,4.866667e-04,5.933333e-04
-6.200000e-04,3.012800e-01,7.933333e-04,-1.813333e-03,-9.333334e-05
-6.180000e-04,3.011667e-01,-2.000000e-05,4.866667e-04,1.333333e-04
-6.160000e-04,3.011667e-01,9.066667e-04,1.400000e-04,1.333333e-04
-6.140000e-04,3.015133e-01,5.600000e-04,9.466666e-04,2.000000e-05
-6.120000e-04,3.015133e-01,1.020000e-03,-2.000000e-04,-4.400000e-04
-6.100000e-04,3.016267e-01,5.600000e-04,1.400000e-04,-4.400000e-04
-6.080000e-04,3.010467e-01,7.933333e-04,8.333334e-04,2.466667e-04
-6.060000e-04,3.020867e-01,6.733334e-04,4.866667e-04,1.166667e-03
-6.040000e-04,3.016267e-01,5.600000e-04,2.666667e-05,-4.400000e-04
-6.020000e-04,3.022067e-01,2.133333e-04,1.060000e-03,2.466667e-04
-6.000000e-04,3.022067e-01,4.400000e-04,-7.800000e-04,2.000000e-05
-5.980000e-04,3.022067e-01,7.933333e-04,6.000000e-04,-9.333334e-05
-5.960000e-04,3.013933e-01,5.600000e-04,2.600000e-04,2.466667e-04
-5.940000e-04,3.015133e-01,3.266667e-04,9.466666e-04,1.333333e-04
-5.920000e-04,3.009333e-01,5.600000e-04,9.466666e-04,3.600000e-04
-5.900000e-04,3.018600e-01,6.733334e-04,4.866667e-04,3.600000e-04
-5.880000e-04,3.010467e-01,6.733334e-04,4.866667e-04,2.000000e-05
-5.860000e-04,3.018600e-01,4.400000e-04,4.866667e-04,2.466667e-04
-5.840000e-04,3.019733e-01,4.400000e-04,7.200000e-04,2.466667e-04
-5.820000e-04,3.019733e-01,7.933333e-04,7.200000e-04,8.200000e-04
-5.800000e-04,3.022067e-01,7.933333e-04,2.600000e-04,-9.333334e-05
-5.780000e-04,3.018600e-01,4.400000e-04,3.733333e-04,4.800000e-04
-5.760000e-04,3.013933e-01,6.733334e-04,3.733333e-04,1.333333e-04
-5.740000e-04,3.010467e-01,3.266667e-04,6.000000e-04,-4.400000e-04
-5.720000e-04,3.009333e-01,5.600000e-04,3.733333e-04,2.466667e-04
-5.700000e-04,3.015133e-01,6.733334e-04,3.733333e-04,2.000000e-05
-5.680000e-04,3.015133e-01,7.933333e-04,2.666667e-05,4.800000e-04
-5.660000e-04,3.016267e-01,-2.000000e-05,4.866667e-04,4.800000e-04
-5.640000e-04,3.013933e-01,9.066667e-04,-2.000000e-04,5.933333e-04
-5.620000e-04,3.020867e-01,5.600000e-04,8.333334e-04,2.000000e-05
-5.600000e-04,3.012800e-01,4.400000e-04,2.600000e-04,-9.333334e-05
-5.580000e-04,3.016267e-01,9.066667e-04,4.866667e-04,2.000000e-05
-5.560000e-04,3.016267e-01,-2.000000e-05,4.866667e-04,1.333333e-04
-5.540000e-04,3.020867e-01,5.600000e-04,7.200000e-04,3.600000e-04
-5.520000e-04,3.009333e-01,7.933333e-04,6.000000e-04,3.600000e-04
-5.500000e-04,3.019733e-01,4.400000e-04,1.293333e-03,3.600000e-04
-5.480000e-04,3.010467e-01,5.600000e-04,2.666667e-05,5.933333e-04
-5.460000e-04,3.016267e-01,7.933333e-04,3.733333e-04,-2.133333e-04
-5.440000e-04,3.011667e-01,7.933333e-04,7.200000e-04,4.800000e-04
-5.420000e-04,3.015133e-01,5.600000e-04,8.333334e-04,2.000000e-05
-5.400000e-04,3.007067e-01,4.400000e-04,2.666667e-05,2.466667e-04
-5.380000e-04,3.017400e-01,9.066667e-04,1.520000e-03,2.000000e-05
